text,intent
который час сейчас в питере,time
текущее время москва,time
точное время с секундами,time
часы минуты секунды,time
который час на часах,time
сколько сейчас времени,time
покажи текущее время,time
скажи который час,time
узнать время,time
время местное,time
который час подскажи,time
часы показывают,time
сколько времени на часах,time
который без пятнадцати,time
без четверти час,time
половина какого часа,time
сколько осталось до,time
который час времени,time
время точное московское,time
часовой пояс,time
который по москве,time
время онлайн,time
сколько часов,time
который час дня,time
который час вечера,time
который час утра,time
какое сегодня число,date
сегодняшняя дата,date
какое число,date
какой сегодня день,date
число сегодня,date
день недели,date
какой день недели,date
сегодня какой день,date
дата сегодня,date
текущая дата,date
какое сегодня число и месяц,date
сегодняшнее число,date
какого числа,date
какой сегодня день недели,date
день месяц год,date
сегодняшний день,date
какое сегодня число месяца,date
какой сегодня месяц,date
какой сейчас год,date
сегодня какая дата,date
покажи сегодняшнюю дату,date
какое число сегодня напиши,date
день недели сегодня,date
какой сегодня праздник,date
какое сегодня число и день недели,date
сегодня какое число и месяц,date
текущая дата и время,date
какое число покажи,date
какой сегодня день года,date
сегодня какой день недели число,date
напиши сегодняшнее число,date
какое сегодня число месяца и год,date
сегодня какая дата число,date
какой день недели сегодня число,date
сколько дней до,date
какое завтра число,date
вчера какое число было,date
послезавтра какое число,date
какого числа праздник,date
покажи дату,date
назови дату,date
покажи сегодняшний день,date
до свидания,goodbye
пока,goodbye
всего хорошего,goodbye
до встречи,goodbye
увидимся,goodbye
прощай,goodbye
бывай,goodbye
счастливо,goodbye
удачи,goodbye
до скорого,goodbye
всего доброго,goodbye
покеда,goodbye
чао,goodbye
до связи,goodbye
пока пока,goodbye
прощайте,goodbye
до завтра,goodbye
бывай здоров,goodbye
до встречи пока,goodbye
удачи пока,goodbye
созвонимся,goodbye
до новых встреч,goodbye
хорошего дня,goodbye
пока бот,goodbye
спокойной ночи,goodbye
доброй ночи,goodbye
всего наилучшего,goodbye
до скорой встречи,goodbye
увидимся позже,goodbye
прощевай,goodbye
давай до свидания,goodbye
покедова,goodbye
бай бай,goodbye
bye bye,goodbye
bye,goodbye
goodbye,goodbye
see you,goodbye
see you later,goodbye
до связи пока,goodbye
счастливо оставаться,goodbye
разрешите откланяться,goodbye
всего хорошего пока,goodbye
до встречи завтра,goodbye
сложи 5 и 3,addition
2 плюс 2,addition
сумма 10 и 20,addition
прибавь 15 к 7,addition
сколько будет 8 плюс 4,addition
сложение,addition
плюс,addition
прибавить,addition
калькулятор,addition
сколько 5+3,addition
вычисли 10+20,addition
прибавь 15+7,addition
плюс 2 и 2,addition
найди сумму 3 и 6,addition
сложить 4 и 9,addition
1 плюс 1,addition
100+200,addition
5+5,addition
8+4,addition
два плюс два,addition
три плюс шесть,addition
десять плюс двадцать,addition
сложи пожалуйста,addition
помоги сложить,addition
посчитай сумму,addition
прибавь еще,addition
добавь 3,addition
плюс 7,addition
сколько будет если сложить,addition
математика сложение,addition
посчитай 25 плюс 35,addition
сложи 10 и 15,addition
прибавь 100 к 200,addition
сумма чисел 5 и 7,addition
добавь 2 к 2,addition
вычисли сумму 8 и 3,addition
сколько получится если прибавить,addition
плюс 5 плюс 5,addition
10 прибавить 20,addition
сложите числа,addition
посчитать сумму,addition
на калькуляторе сложить,addition
прибавление чисел,addition
математическое сложение,addition
плюс один плюс два,addition
меня зовут Максим,set_name
меня зовут Анна,set_name
меня зовут Дмитрий,set_name
мое имя Иван,set_name
называй меня Саша,set_name
зови меня Катя,set_name
я Максим,set_name
меня звать Олег,set_name
можно просто Петя,set_name
обращайся ко мне Лена,set_name
зовут меня Алексей,set_name
меня зовут пожалуйста Максим,set_name
давай познакомимся,set_name
будем знакомы меня зовут,set_name
меня можно называть,set_name
вот мое имя,set_name
меня зовут Сергей,set_name
меня зовут Алексей,set_name
я Антон,set_name
я Денис,set_name
я Кристина,set_name
я Юлия,set_name
называй меня Макс,set_name
зови меня Дима,set_name
зови меня Костя,set_name
зови меня Лена,set_name
зови меня Юля,set_name
зовите меня Вова,set_name
меня звать Петрович,set_name
меня зовут Артем,set_name
я Настя,set_name
я Кирилл,set_name
меня зовут Елена,set_name
называйте меня Ольга,set_name
можно называть Никита,set_name
обращайся ко мне Игорь,set_name
зовут меня Роман,set_name
я Сергей,set_name
представьтесь как Мария,set_name
мое имя Дарья,set_name
можешь звать меня Виктор,set_name
называй меня Андрей,set_name
зовите меня Татьяна,set_name
я Илья,set_name
меня зовут Владимир,set_name
как дела,smalltalk
как ты,smalltalk
как жизнь,smalltalk
как настроение,smalltalk
что делаешь,smalltalk
чем занимаешься,smalltalk
как поживаешь,smalltalk
как сам,smalltalk
как у тебя дела,smalltalk
что нового,smalltalk
как твои дела,smalltalk
как работаешь,smalltalk
как настроение сегодня,smalltalk
ты как,smalltalk
как себя чувствуешь,smalltalk
что нового у тебя,smalltalk
как ты поживаешь,smalltalk
что слышно,smalltalk
как жизнь молодая,smalltalk
как ты сегодня,smalltalk
расскажи что-нибудь,smalltalk
что интересного,smalltalk
как твоё настроение,smalltalk
как сам поживаешь,smalltalk
как жизнь вообще,smalltalk
что у тебя нового,smalltalk
как твои дела сегодня,smalltalk
расскажи что нибудь интересное,smalltalk
что нового расскажешь,smalltalk
как дела твои,smalltalk
как у тебя жизнь,smalltalk
как настроение у тебя,smalltalk
что делаешь сейчас,smalltalk
чем занимаешься сегодня,smalltalk
как прошел день,smalltalk
как настроение сегодня утром,smalltalk
как жизнь молодая бот,smalltalk
что нового в мире,smalltalk
что слышно интересного,smalltalk
как себя чувствуешь сегодня,smalltalk
как твое настроение сейчас,smalltalk
расскажи о себе,smalltalk
что ты любишь,smalltalk
чем увлекаешься,smalltalk
как отдыхается,smalltalk
как работается,smalltalk
что ты умеешь,help
помощь,help
справка,help
команды,help
что можешь,help
какие у тебя функции,help
что ты можешь делать,help
расскажи о себе,help
помоги,help
нужна помощь,help
как пользоваться,help
твои возможности,help
что ты умеешь делать,help
покажи команды,help
список команд,help
что я могу спросить,help
расскажи о своих навыках,help
как ты работаешь,help
функции бота,help
что бот умеет,help
какие команды есть,help
помощь бота,help
подскажи что делать,help
что можно спросить,help
как с тобой общаться,help
навыки бота,help
что я могу сказать,help
какие есть возможности,help
перечисли команды,help
как тебя использовать,help
что ты умеешь из полезного,help
покажи навыки,help
расскажи о командах,help
подскажи возможности,help
что бот может,help
список умений,help
как взаимодействовать,help
инструкция по использованию,help
что ты умеешь список,help
все команды бота,help
помоги мне разобраться,help
я не знаю что спросить,help
напиши что ты умеешь,help
расскажи свои функции,help
какие у тебя есть команды,help
какие навыки есть у бота,help
помощь боту,help
нужна справка,help
что ответить,help
как задать вопрос,help
примеры запросов,help
что можно написать,help
как тебя попросить,help
что попросить сделать,help
расскажи шутку,unknown
кто твой создатель,unknown
спасибо,unknown
откуда ты,unknown
ты человек,unknown
расскажи анекдот,unknown
спой песню,unknown
потанцуй,unknown
что ты любишь,unknown
какой твой любимый цвет,unknown
у тебя есть друзья,unknown
скучно,unknown
развлеки меня,unknown
поиграем,unknown
хочешь кофе,unknown
новости мира,unknown
как пройти,unknown
где находится,unknown
посоветуй,unknown
расскажи историю,unknown
что происходит,unknown
зачем ты,unknown
как тебя зовут,unknown
сколько тебе лет,unknown
ты умный,unknown
где ты живешь,unknown
есть ли у тебя имя,unknown
ты кто такой,unknown
какая твоя цель,unknown
ты меня слышишь,unknown
ты тут,unknown
можешь говорить,unknown
ты настоящий,unknown
зачем тебя создали,unknown
кто тебя программировал,unknown
на каком языке ты написан,unknown
ты используешь нейросети,unknown
какой у тебя процессор,unknown
ты обучаешься,unknown
у тебя есть память,unknown
что ты помнишь,unknown
ты меня запомнил,unknown
расскажи о погоде,weather
какая температура на завтра,weather
будет дождь сегодня,weather
прогноз на понедельник,weather
какая погода будет на выходных,weather
снег завтра будет,weather
ветер сколько метров в секунду,weather
влажность воздуха какая,weather
атмосферное давление сейчас,weather
восход солнца во сколько,weather
закат во сколько,weather
ультрафиолетовый индекс,weather
видимость на дорогах,weather
гроза ожидается,weather
град будет сегодня,weather
туман утром будет,weather
гололед на дорогах сегодня,weather
тепло ли одеваться,weather
что надеть на улицу,weather
нужен ли зонт,weather
нужны ли сапоги,weather
можно ли гулять,weather
погода для прогулки,weather
хорошая ли погода,weather
плохая погода сегодня,weather
пасмурно или солнечно,weather
тепло или холодно на улице,weather
сухо или дождливо,weather
какая погода в крыму,weather
погода в сочи,weather
погода в краснодаре,weather
погода в волгограде,weather
погода в воронеже,weather
погода в саратове,weather
погода в тюмени,weather
погода в перми,weather
погода в иркутске,weather
погода в хабаровске,weather
погода во владивостоке,weather
погода в калининграде,weather
погода в туле,weather
погода в ярославле,weather
погода в рязани,weather
погода в липецке,weather
погода в кирове,weather
погода в чебоксарах,weather
погода в уфе,weather
погода в астрахани,weather
погода в пензе,weather
погода в липецке,weather
который час в москве,time
сколько времени в питере,time
который час в новосибирске,time
время в екатеринбурге,time
московское время сейчас,time
точное время с секундами онлайн,time
сколько сейчас часов и минут,time
который час покажи на часах,time
во сколько рассвет,time
во сколько закат,time
сколько осталось до полуночи,time
сколько времени до вечера,time
который час дня сейчас,time
который час вечера,time
который час утра,time
который час ночи,time
полночь сколько времени,time
полдень сколько времени,time
без десяти сколько,time
без пятнадцати сколько,time
без двадцати сколько,time
четверть какого часа,time
половина какого часа,time
который час в других городах,time
часовой пояс москвы,time
разница во времени,time
сколько времени в лондоне,time
сколько времени в нью-йорке,time
время в токио,time
который час в париже,time
сколько времени в берлине,time
который час в риме,time
время в лос-анджелесе,time
сколько времени в дубае,time
который час в пекине,time
время в сингапуре,time
сколько времени в сиднее,time
какое сегодня число месяца,date
какой сегодня день года,date
сколько дней в этом месяце,date
какой сейчас месяц,date
какое число было вчера,date
какое число будет завтра,date
какое число послезавтра,date
какой день недели был вчера,date
какой день недели будет завтра,date
сколько недель в году,date
какой сегодня год,date
какое сегодня число и месяц,date
сегодня какая дата число месяц,date
покажи сегодняшнюю дату полностью,date
напиши сегодняшнее число,date
сегодня какой день недели число месяц,date
календарь на сегодня,date
дата сегодняшнего дня,date
число месяц год сегодня,date
день недели сегодня число,date
какое сегодня число в цифрах,date
напиши дату сегодня,date
покажи число сегодня,date
какое сегодня число и день недели,date
сегодняшний день недели,date
какой праздник сегодня,date
какой сегодня православный праздник,date
какой сегодня церковный праздник,date
какой праздник завтра,date
какой праздник был вчера,date
сегодня именины кого,date
чей сегодня день ангела,date
сегодня какой государственный праздник,date
сегодня профессиональный праздник,date
какое знаменательное событие сегодня,date
что за день сегодня,date
чем знаменит сегодняшний день,date
исторические события сегодня,date
кто родился в этот день,date
сегодня день рождения знаменитостей,date
какое сегодня число месяца и день недели,date
сколько дней осталось до нового года,date
сколько дней осталось до моего дня рождения,date
сколько дней в феврале,date
високосный год или нет,date
сколько дней в этом году,date
какая неделя по счету,date
какой месяц по счету,date
